,1,0.5,0.2
738,4-5,4.0-4.4,4.2-4.3
739,4-5,4.0-4.4,4.4-4.5
740,4-5,4.0-4.4,4.4-4.5
741,4-5,4.5-4.9,4.4-4.5
742,4-5,4.0-4.4,4.4-4.5
743,4-5,4.5-4.9,4.4-4.5
744,4-5,4.0-4.4,4.4-4.5
745,4-5,4.0-4.4,4.0-4.1
746,4-5,4.5-4.9,4.4-4.5
747,3-4,3.5-3.9,3.6-3.7
748,3-4,3.5-3.9,3.6-3.7
749,3-4,3.5-3.9,3.6-3.7
750,2-3,2.5-2.9,2.6-2.7
751,2-3,2.5-2.9,2.6-2.7
752,3-4,3.0-3.4,3.2-3.3
753,4-5,4.0-4.4,4.2-4.3
754,4-5,4.5-4.9,4.6-4.7
755,4-5,4.5-4.9,4.4-4.5
756,4-5,4.0-4.4,4.2-4.3
757,4-5,4.0-4.4,4.0-4.1
758,3-4,3.5-3.9,3.6-3.7
759,2-3,2.5-2.9,2.6-2.7
