,1,0.5,0.2
250,4-5,4.0-4.4,4.2-4.3
251,4-5,4.5-4.9,4.4-4.5
252,3-4,3.5-3.9,3.6-3.7
253,4-5,4.0-4.4,4.4-4.5
254,4-5,4.0-4.4,4.4-4.5
255,4-5,4.0-4.4,4.2-4.3
256,4-5,4.5-4.9,4.6-4.7
257,4-5,4.5-4.9,4.6-4.7
258,4-5,4.0-4.4,4.2-4.3
259,4-5,4.0-4.4,4.0-4.1
260,4-5,4.0-4.4,4.2-4.3
261,4-5,4.0-4.4,4.0-4.1
262,4-5,4.5-4.9,4.6-4.7
263,4-5,4.5-4.9,4.4-4.5
264,4-5,4.5-4.9,4.4-4.5
265,4-5,4.0-4.4,4.2-4.3
266,4-5,4.5-4.9,4.4-4.5
267,4-5,4.0-4.4,4.4-4.5
268,4-5,4.5-4.9,4.6-4.7
269,3-4,3.5-3.9,3.6-3.7
270,4-5,4.0-4.4,4.4-4.5
271,3-4,3.5-3.9,3.8-3.9
272,3-4,3.5-3.9,3.6-3.7
273,4-5,4.0-4.4,4.4-4.5
274,4-5,4.0-4.4,4.2-4.3
275,4-5,4.0-4.4,4.2-4.3
276,4-5,4.0-4.4,4.2-4.3
277,4-5,4.0-4.4,4.2-4.3
278,4-5,4.0-4.4,4.2-4.3
279,4-5,4.0-4.4,4.2-4.3
280,3-4,3.5-3.9,3.6-3.7
281,4-5,4.5-4.9,4.4-4.5
282,3-4,3.0-3.4,3.2-3.3
283,4-5,4.5-4.9,4.4-4.5
284,3-4,3.0-3.4,3.2-3.3
285,4-5,4.0-4.4,4.2-4.3
286,4-5,4.0-4.4,4.2-4.3
287,4-5,4.0-4.4,4.2-4.3
288,3-4,3.0-3.4,3.2-3.3
289,4-5,4.5-4.9,4.4-4.5
290,4-5,4.5-4.9,4.4-4.5
291,4-5,4.0-4.4,4.4-4.5
292,4-5,4.0-4.4,4.2-4.3
293,4-5,4.0-4.4,4.4-4.5
294,3-4,3.0-3.4,3.2-3.3
295,4-5,4.0-4.4,4.2-4.3
296,4-5,4.0-4.4,4.2-4.3
297,4-5,4.0-4.4,4.0-4.1
298,4-5,4.0-4.4,4.0-4.1
299,4-5,4.0-4.4,4.2-4.3
300,4-5,4.5-4.9,4.4-4.5
301,4-5,4.0-4.4,4.2-4.3
302,4-5,4.5-4.9,4.6-4.7
303,4-5,4.5-4.9,4.4-4.5
304,4-5,4.5-4.9,4.4-4.5
305,4-5,4.0-4.4,4.2-4.3
306,3-4,3.0-3.4,3.2-3.3
307,3-4,3.5-3.9,3.6-3.7
308,4-5,4.0-4.4,4.4-4.5
309,4-5,4.0-4.4,4.0-4.1
310,4-5,4.0-4.4,4.0-4.1
311,4-5,4.0-4.4,4.4-4.5
312,3-4,3.0-3.4,3.0-3.1
313,4-5,4.0-4.4,4.0-4.1
