,numerical
1131,4.5
469,4.1
1523,3.9
2908,4.0
4602,4.2
6087,3.8
718,4.5
6930,4.7
1436,4.5
2162,4.8
7957,5.0
1730,4.6
8642,4.6
1978,4.2
105,4.7
3885,4.3
3247,4.5
1348,4.1
7033,3.6
2291,4.5
6579,4.3
2210,4.2
5612,4.6
4208,4.2
8047,4.4
2601,4.2
277,4.2
6737,4.4
3993,4.0
760,4.3
4653,3.8
4042,3.7
2393,5.0
5466,4.8
983,4.6
9008,4.3
3438,4.7
6311,4.5
1800,4.5
6375,4.4
3717,4.5
5719,4.0
4188,3.3
181,4.1
6323,3.4
7170,3.3
4050,4.5
925,4.1
7026,4.8
6902,4.6
346,4.2
1108,4.4
4112,4.4
2555,4.5
2490,4.0
7328,1.4
3375,4.2
518,4.1
6863,4.3
2193,4.5
3230,4.6
6708,5.0
9290,3.6
8438,4.6
9022,5.0
1976,4.3
6994,4.4
6249,5.0
893,4.0
1404,3.4
3542,4.3
5454,3.9
153,4.8
7241,3.7
7870,4.3
8913,4.2
4857,4.6
7093,4.6
8746,3.5
5822,4.0
7743,3.7
819,4.4
5242,4.2
7628,4.5
3149,4.7
7688,4.2
7122,2.2
1424,4.0
507,3.5
1963,4.5
2047,4.3
5422,2.7
759,4.3
5830,4.2
2160,4.6
203,4.1
55,4.2
8299,5.0
687,4.6
9202,5.0
9013,3.0
6935,4.6
1757,4.5
1873,4.1
1279,4.3
324,4.3
5206,4.3
7819,4.8
4059,4.3
4706,2.8
926,4.2
9313,5.0
2385,4.0
196,4.1
2013,4.3
7067,3.9
8088,5.0
5200,4.7
4910,4.0
1449,3.5
2300,4.0
7584,4.4
7868,4.5
8082,4.4
2248,3.8
3517,3.9
1944,4.5
6628,4.4
6005,4.7
4822,3.9
2074,4.1
1922,4.6
891,3.9
4647,4.3
9221,4.8
8860,2.2
744,4.2
8989,4.8
6453,1.5
5961,4.2
6397,2.8
4005,3.4
5814,3.5
795,4.8
4796,4.4
5277,2.4
8454,4.5
4529,4.3
867,4.0
1515,3.8
133,4.6
622,4.7
360,4.3
5890,5.0
7150,4.2
7136,4.5
5388,3.5
2012,4.6
8850,4.1
598,4.8
5604,4.3
945,4.4
777,4.0
3330,4.4
7678,4.3
7639,4.5
4019,4.2
8784,4.2
5960,3.9
4444,4.6
1758,4.4
5321,4.7
3225,4.3
1197,3.3
7811,3.2
7253,4.8
2130,4.2
888,4.5
3372,4.5
6426,3.8
3945,4.4
357,4.4
7604,3.3
6404,3.3
2987,3.9
3563,4.3
9007,4.6
215,3.9
6791,4.7
6723,4.6
6914,3.6
2627,4.3
7421,4.0
3730,4.6
3619,4.4
6205,4.7
326,4.4
18,4.6
1752,4.6
7715,2.8
1214,4.7
8769,4.2
3879,4.5
6799,3.9
5215,4.6
6331,3.8
128,3.7
7021,5.0
7657,4.5
1210,4.6
7582,2.8
1984,4.2
7859,4.5
1716,4.5
2814,4.6
4810,3.9
2826,4.2
6979,3.5
5389,4.5
5340,3.5
2532,3.8
2798,4.2
5805,4.1
3521,4.6
6588,4.5
4696,3.4
1636,4.7
3726,4.2
6092,1.8
6155,4.3
383,4.2
9292,4.2
3770,4.3
6156,2.8
6565,4.3
2148,4.2
2953,4.1
4126,4.1
5001,4.3
5339,4.5
3102,4.2
1983,4.5
570,4.1
908,3.7
8848,3.1
1293,4.5
9157,3.8
6344,4.2
4680,4.6
8367,4.3
3595,4.6
6187,4.4
1646,4.4
5412,4.2
3186,4.5
2092,4.7
2897,4.0
6760,4.4
3774,4.3
213,4.7
9150,4.4
5823,4.9
6794,4.1
4573,4.3
407,4.5
8750,3.8
1804,4.6
3133,3.5
2728,4.3
4960,4.1
1366,4.0
8893,4.2
7283,4.6
9259,4.6
1144,4.5
8760,4.6
7753,4.2
7555,4.6
186,4.5
1809,4.5
6792,4.6
2771,4.4
5477,4.3
5263,4.3
4518,4.2
2602,4.1
2842,4.3
946,4.2
813,4.3
7482,4.3
6099,4.7
7085,3.9
6476,5.0
2341,5.0
3957,4.6
2276,4.6
788,3.5
6759,4.3
5747,4.5
3101,4.3
8525,3.8
2176,4.0
523,4.1
1258,4.6
8810,4.7
699,4.0
6136,4.9
3905,4.3
7524,4.1
828,4.5
1048,4.6
9218,4.6
2136,3.9
1056,4.6
4888,2.9
7686,4.6
5402,4.2
3152,4.4
1880,4.3
6581,4.5
1010,4.7
1959,4.3
9350,3.4
6712,4.7
5470,4.3
2045,4.0
4523,4.5
6777,4.3
224,4.2
2561,3.3
9040,4.0
1053,4.3
5969,3.4
3970,4.2
4284,3.9
8535,4.2
405,4.5
1889,4.7
2927,4.0
1215,4.4
2269,4.8
2519,4.6
8444,4.0
8793,4.3
7334,3.8
5538,4.7
188,4.0
3295,4.4
4842,4.1
1936,4.6
2205,4.2
275,4.7
3920,4.5
4199,4.0
6980,4.3
1578,4.3
3256,4.2
467,4.1
5914,4.8
4668,4.4
875,4.3
5237,3.7
4994,4.1
1368,4.4
5092,4.7
1119,4.1
427,4.4
5650,4.4
6531,4.7
2684,4.3
4890,5.0
3933,4.4
8895,4.5
8623,4.6
5656,4.8
4150,4.3
371,4.0
4148,4.6
4622,4.4
5701,4.3
7624,4.4
463,4.2
83,4.4
6232,4.8
4213,3.4
5311,4.1
8526,4.0
8234,3.7
5958,4.7
3117,4.2
2735,4.0
70,4.2
4953,2.8
7598,4.1
5539,4.8
8189,4.1
1076,4.4
1014,4.3
508,4.4
4488,4.6
1272,4.3
5871,4.6
8397,4.7
2687,4.4
1711,4.2
8168,2.9
179,4.3
5130,3.7
1667,4.4
1273,4.1
4859,4.4
6513,5.0
2726,4.5
1361,4.5
3080,4.5
4578,4.6
8321,3.5
1549,4.3
3006,3.7
4231,4.7
5423,4.6
5601,4.4
4871,3.7
2758,4.2
91,4.6
6317,2.3
4351,4.3
1028,4.8
1482,4.6
1590,4.5
5893,4.3
7659,4.5
5639,3.3
8805,4.9
1173,4.5
7749,4.5
8552,5.0
4043,4.0
4961,4.8
1511,4.4
6533,3.5
6203,4.0
3500,4.6
2898,4.1
4863,4.3
2221,3.7
1856,4.7
3052,3.6
7238,3.8
1325,4.5
1384,4.1
8313,3.8
2620,4.2
1125,3.5
8134,4.7
8272,3.4
4224,4.4
1576,4.6
6931,3.4
5915,4.6
3065,4.4
8227,3.6
4364,4.7
4140,4.4
8740,4.0
5571,3.0
3413,4.0
30,4.5
7375,3.5
3420,4.4
7700,3.6
2818,4.2
3358,4.5
1106,4.3
8099,5.0
8930,4.2
8894,4.3
2080,4.0
6212,3.7
212,4.4
1792,4.7
3618,4.1
8861,3.9
5188,4.4
5276,4.3
3329,4.0
4820,3.9
1861,4.3
59,4.9
6970,4.6
1713,4.8
2302,3.5
6996,4.3
3524,4.2
3666,4.6
9169,4.6
3201,4.5
1465,4.3
3871,4.3
4556,4.6
1544,4.1
7721,4.3
5238,3.6
5685,4.2
9092,4.5
754,4.7
2802,4.6
1239,4.2
4575,4.5
435,4.3
96,4.7
4260,4.1
7669,4.3
2153,4.1
376,4.2
4865,4.5
461,4.2
4047,3.0
3181,4.4
5476,5.0
3688,4.5
4390,4.3
5553,1.9
395,4.4
2717,4.3
49,3.8
157,4.1
5818,5.0
3838,4.4
3143,4.5
6551,3.8
9132,4.3
4394,3.7
207,4.4
3548,4.5
4945,3.8
7247,4.4
7177,4.5
4586,4.5
5589,4.4
5802,4.5
3588,4.7
7106,4.5
3876,4.2
200,4.3
7877,4.7
3388,4.5
831,4.5
8862,2.8
4084,4.3
2518,4.3
5012,4.8
2621,4.3
7204,4.2
314,4.4
3622,4.7
3456,4.2
2920,4.4
8691,4.3
5592,4.0
2408,4.2
7534,3.8
2228,4.8
42,4.2
9340,4.7
3587,3.1
5183,4.7
135,4.2
5373,2.3
7110,2.3
7419,4.2
8279,3.2
4799,4.3
1786,4.5
3070,4.7
191,4.2
7508,2.3
1763,4.4
6200,3.9
4801,4.3
8304,4.0
7823,4.6
6273,4.6
959,4.6
3401,4.6
2811,4.1
1172,3.9
7423,4.5
3983,4.2
5533,4.1
2492,4.0
884,4.2
8386,4.5
7684,4.3
7425,5.0
3191,4.2
5341,4.0
2279,3.6
9254,4.2
3881,4.3
4563,4.7
3686,4.7
8036,4.2
6227,4.4
3643,4.2
5743,3.7
7768,4.3
3835,4.3
7648,4.1
4346,4.4
1626,4.5
9188,4.3
6852,4.2
4688,4.8
4952,5.0
2004,4.5
4257,3.9
5427,5.0
6228,1.8
4973,4.5
1477,3.1
2667,4.5
1570,4.5
8843,4.2
2744,4.4
4521,4.3
5993,3.7
7512,4.6
7152,4.2
5075,4.3
5909,3.6
4245,4.1
8865,4.4
5347,4.7
8630,4.3
5702,3.9
5622,4.2
8681,3.0
6525,5.0
7886,4.4
7474,4.8
2736,4.4
4365,4.2
822,3.9
1090,4.3
3039,4.2
4259,4.2
8570,4.2
8686,3.7
5137,4.5
3335,4.2
1062,4.6
4003,4.4
2857,4.7
894,4.1
2230,4.2
2380,4.3
6073,4.5
340,3.7
8972,4.6
3484,4.2
6900,4.4
1212,4.5
7510,4.3
2810,4.2
99,3.9
1970,4.5
1040,4.3
8190,4.2
1242,4.5
2377,3.8
7774,3.4
3480,3.5
8522,3.5
883,3.8
645,3.3
9251,4.2
6414,3.2
2713,4.4
