,numerical
6017,4.3
9174,3.2
8981,4.1
8432,4.1
1432,4.6
1549,4.3
1935,4.5
2047,4.3
3248,4.4
5230,3.4
4978,4.1
1355,4.6
501,3.9
2327,4.4
8224,3.5
3433,3.9
4803,4.0
6979,3.5
32,4.7
4312,2.6
1963,4.5
8163,3.5
3276,4.4
4443,4.6
5791,4.0
8402,4.7
6050,4.2
1100,4.7
687,4.6
5580,4.7
4362,3.8
1147,3.3
2756,4.3
914,3.9
4368,4.6
956,4.0
7689,3.7
111,4.2
8970,4.6
4819,4.0
3606,4.6
3319,4.2
7766,4.1
4891,3.9
6587,4.9
1915,4.7
6384,4.7
3411,4.2
835,4.2
9126,4.5
5518,4.0
5367,4.8
4408,3.1
7372,4.3
9017,4.1
4071,4.1
1909,4.4
2758,4.2
6094,2.0
1158,4.0
6593,4.7
8327,4.3
4856,4.1
5336,3.9
3681,4.1
8059,4.5
6526,4.3
1738,4.3
7567,4.9
8535,4.2
2413,4.2
2554,4.6
6972,4.1
2795,4.2
5782,4.3
4196,3.9
2819,4.3
6921,4.2
5715,2.4
9352,3.8
5483,4.3
3975,4.4
189,4.3
5390,4.3
3500,4.6
4161,4.0
3696,4.7
1270,4.9
2289,4.5
4324,3.1
7496,4.2
7013,3.8
6218,4.1
1031,4.3
8123,4.2
1854,4.5
882,3.7
994,4.3
3555,3.3
2627,4.3
677,4.5
3337,4.4
5081,3.7
978,4.4
307,4.6
1116,4.7
2848,4.2
6581,4.5
9000,4.4
5330,4.0
3184,4.1
2930,4.2
997,4.1
7319,4.4
7659,4.5
6881,4.4
12,4.2
1183,4.3
6533,3.5
9153,4.8
3893,4.5
4012,4.3
7546,4.1
1385,4.1
832,3.4
9142,3.8
8524,3.9
3989,4.3
4544,4.2
446,4.6
706,4.1
2618,3.9
3538,4.4
4322,2.2
6028,4.4
5279,4.3
4971,4.6
7037,4.6
9112,3.4
9130,3.7
3027,4.2
7444,4.3
3448,4.7
6536,4.3
4859,4.4
6660,4.7
7677,4.1
3045,4.4
586,3.6
1522,4.7
4503,4.3
4837,4.7
4627,4.2
3622,4.7
7603,4.5
1829,4.5
2882,2.9
1674,4.5
8866,3.9
4210,3.9
299,3.2
1822,4.6
5505,4.1
8201,4.2
4667,4.4
5436,4.1
5205,4.0
4028,4.3
4994,4.1
2968,4.5
1768,4.3
5723,4.7
1404,3.4
4530,4.0
2883,4.0
4208,4.2
7582,2.8
702,4.3
6223,4.8
3043,4.4
2346,4.9
6187,4.4
3127,4.5
5323,3.2
2206,4.5
7607,4.7
3553,3.9
4746,3.8
1648,4.5
6942,4.1
9308,2.9
4149,4.5
8634,4.8
2271,3.0
761,4.0
1297,4.5
7570,2.5
1324,4.4
2342,5.0
2035,4.1
8677,5.0
116,4.1
7848,4.5
2650,4.5
6573,3.9
8635,4.6
9072,4.4
2689,4.5
8953,4.6
523,4.1
4720,4.3
5802,4.5
7793,4.1
8819,3.1
3843,4.6
7738,4.5
4587,4.0
2991,3.7
6697,4.6
4598,4.3
8774,3.3
363,4.3
6381,4.6
3047,3.7
5787,3.0
4824,4.5
2646,4.1
2761,4.4
4671,4.3
1179,4.6
2987,3.9
6290,4.5
310,4.4
1759,4.6
7298,4.6
8835,4.1
5981,4.3
8929,3.4
7545,4.0
3974,4.4
4042,3.7
241,4.0
78,3.9
4087,4.6
6146,4.3
9102,3.7
5645,5.0
2188,4.6
7194,4.8
8571,4.7
7411,3.3
8530,4.3
7836,4.4
5903,4.6
1698,3.1
645,3.3
4244,3.9
5578,4.1
1157,4.5
3471,4.4
2763,4.4
7478,4.5
9188,4.3
8855,3.2
214,3.8
2526,4.4
4064,4.4
4958,2.8
890,4.1
3075,4.1
6658,3.8
9303,2.7
1296,4.6
6895,3.9
5964,3.7
1693,4.2
8728,4.4
3839,4.4
5521,4.5
5091,4.4
4620,4.5
2873,4.4
8108,4.1
3666,4.6
6987,3.6
5858,3.7
4424,3.8
8768,2.7
6997,2.6
6931,3.4
7471,4.2
7571,4.7
4377,4.5
710,4.3
843,4.1
6874,3.8
5335,2.7
7615,4.2
2702,4.0
2781,4.6
1425,4.6
6586,4.4
2472,4.3
6002,3.2
4320,4.1
2922,4.4
8021,4.5
8930,4.2
6897,3.5
6848,4.3
8104,3.8
5283,4.4
663,4.4
2716,4.6
6951,3.8
2404,4.5
1789,4.4
6314,4.6
3584,4.7
9135,4.2
1864,4.3
8403,4.1
856,4.2
910,4.2
5410,4.0
5032,4.7
1054,4.5
7824,4.0
8437,4.4
6883,4.4
6295,4.0
231,4.3
6539,4.7
1354,4.2
3306,4.1
598,4.8
2759,4.5
45,4.2
1300,4.2
6279,4.4
4911,3.9
4699,1.9
9033,4.1
1976,4.3
7562,4.4
8125,4.5
8962,4.5
4933,4.7
8287,4.3
1135,4.3
771,4.2
2497,4.1
1589,4.2
4294,4.3
723,4.5
4963,5.0
3093,4.4
5286,4.6
7365,4.3
5000,3.6
950,4.5
7427,4.1
2807,4.5
3336,4.2
3031,4.3
4038,3.9
1614,4.4
4059,4.3
7733,4.6
8316,4.2
7351,4.5
4212,4.4
4011,3.1
5448,3.0
5956,4.1
6930,4.7
1958,4.4
2507,4.4
1853,4.7
6517,5.0
4234,3.9
2067,4.4
547,3.7
6402,4.1
6816,3.2
8303,4.3
3022,4.3
83,4.4
737,4.5
7523,4.0
3619,4.4
2248,3.8
784,4.3
2452,4.2
6521,4.4
2320,4.4
6802,4.3
4008,3.0
8789,4.4
8464,4.7
9051,4.3
3535,3.9
4922,4.0
7497,4.2
2846,4.6
1321,4.5
2189,4.2
9351,4.6
4747,4.0
8864,4.6
951,4.0
441,4.5
6123,4.5
7097,3.8
7136,4.5
8433,4.6
1288,4.6
3938,4.5
4907,3.8
6411,2.2
5641,3.4
3628,4.0
6825,4.3
1705,4.3
8299,5.0
3307,4.5
4412,4.4
9031,4.8
1160,4.5
2856,4.5
2157,4.3
8415,4.4
5823,4.9
4493,3.3
3586,4.5
7802,3.9
2729,4.3
3694,4.8
1872,4.5
6498,4.1
6082,4.6
544,4.2
7563,3.7
203,4.1
8591,4.3
1192,4.9
9187,4.7
3766,4.5
8781,3.5
316,5.0
7774,3.4
1358,4.4
72,4.8
8460,4.3
3496,4.5
4921,4.6
2828,4.3
8481,4.5
4025,3.8
4171,4.3
884,4.2
6582,4.4
1531,4.6
2748,4.1
7988,4.5
250,3.8
94,4.4
3118,4.4
5339,4.5
3565,4.3
6078,5.0
6426,3.8
4751,4.4
3768,4.3
5993,3.7
5529,4.4
1065,4.4
5320,3.8
8938,4.8
2515,4.6
5468,4.3
4552,4.1
7612,4.7
3503,4.2
3389,4.4
3635,4.6
1616,4.5
2551,4.4
5324,4.5
424,4.2
4762,4.1
9156,4.9
4784,4.0
2946,4.4
8626,4.3
6602,4.6
3223,4.7
6744,3.6
1820,4.4
4093,4.4
9356,4.5
8496,3.4
8998,4.1
8702,4.5
5615,3.9
684,4.7
3162,4.5
514,4.2
4122,4.3
2604,4.3
6441,3.8
688,4.5
773,4.7
300,3.2
810,4.6
7866,4.2
7507,3.9
3230,4.6
4701,3.4
5178,4.4
8730,3.7
462,4.3
614,4.1
8178,4.3
3970,4.2
1132,4.6
2026,4.4
1731,4.3
510,4.2
3592,4.0
6501,5.0
2841,4.6
1784,4.2
7433,4.4
7397,4.5
5167,4.5
4255,4.0
3083,4.5
7577,3.2
8673,4.2
5895,4.5
2208,4.6
8253,4.2
88,4.5
2398,4.6
2818,4.2
5965,3.5
3846,4.7
7688,4.2
2735,4.0
4054,4.6
3199,4.1
1093,4.3
144,3.9
3017,3.7
4843,4.2
5554,3.7
2229,2.7
4339,4.5
7238,3.8
6201,3.5
3576,4.5
1266,4.4
2109,4.4
671,4.4
8470,4.3
3611,3.9
582,4.0
8984,4.3
1921,4.3
1400,4.5
4264,4.4
8869,5.0
2184,4.2
4221,4.3
7707,4.2
3769,4.6
4663,3.4
1772,4.2
798,4.9
6053,4.6
4017,4.2
2273,3.7
206,4.4
1218,4.2
3775,4.3
8042,4.7
855,3.9
5381,4.7
2477,4.3
4512,4.6
4152,4.2
8436,4.4
8273,2.9
2153,4.1
3048,4.4
3928,4.6
7022,4.5
695,4.4
8214,4.2
6767,4.5
3805,4.3
4162,4.0
8675,4.0
4740,4.2
124,4.0
1861,4.3
3122,4.2
4607,4.4
3215,4.4
7415,2.8
5214,3.8
8096,4.6
3176,4.2
2220,4.0
6148,4.3
8269,4.0
142,4.6
8204,4.3
4426,3.7
4687,4.7
5104,4.6
4145,4.3
1228,4.5
2700,4.5
64,4.0
5737,4.9
8054,4.5
5905,4.7
1726,4.5
6827,4.3
2608,4.5
732,4.6
6034,4.2
794,4.5
1277,4.7
2255,4.7
6820,4.4
6052,4.1
7303,2.4
3041,4.4
3401,4.6
583,4.2
1957,4.4
700,4.1
2737,4.3
1801,4.3
7655,4.3
2984,4.0
1459,4.2
6782,4.2
4015,4.5
5884,4.0
3822,3.9
6611,4.1
505,3.9
509,3.8
743,4.3
6226,4.3
625,4.4
1995,4.5
6089,3.9
3021,4.7
4690,3.5
6316,4.8
4484,4.2
4507,4.2
6062,4.0
2500,4.2
7885,4.1
1253,4.4
286,4.6
4882,4.3
4970,5.0
1427,4.1
4178,4.4
1610,4.5
6202,4.5
7186,3.6
9225,4.5
1635,4.6
343,4.4
8770,2.3
1403,4.7
7145,4.6
998,4.7
7193,4.7
2338,5.0
8301,4.4
854,4.2
4313,4.1
2464,3.6
70,4.2
6576,3.5
6347,4.7
2925,4.5
1682,4.4
8743,4.9
5251,4.5
5698,2.2
1587,4.3
4104,4.1
158,4.6
2945,4.5
4041,4.6
2171,4.4
9226,3.9
2347,5.0
6023,3.7
4271,3.9
7012,4.3
5932,4.8
912,4.0
7692,4.7
5455,4.8
6113,4.3
5246,3.6
4425,4.5
6687,4.3
379,4.4
1503,4.6
5865,3.3
6232,4.8
3732,4.8
1863,4.2
4037,4.3
5355,3.8
4492,3.8
1902,4.4
5611,4.3
894,4.1
2845,4.0
1255,4.4
186,4.5
5881,4.5
8772,4.1
665,4.5
2178,4.3
3451,4.0
6514,4.4
3644,4.0
4217,4.8
84,4.3
4209,4.1
3351,4.4
869,4.2
1094,3.9
5280,4.5
312,3.3
5048,2.9
1554,4.1
295,4.7
2113,3.6
6614,4.8
5376,4.6
7291,3.7
3056,4.4
1897,4.3
1337,4.2
6039,4.4
4101,4.7
3864,4.5
6709,2.6
5565,4.4
4026,2.9
3293,4.3
873,4.2
2403,4.1
2092,4.7
5282,4.3
2783,4.3
4646,4.3
4043,4.0
8484,4.7
2395,2.8
4611,4.6
8652,3.5
101,4.2
5058,4.0
797,4.1
8959,4.5
8639,4.1
4332,4.6
496,4.1
7052,4.3
9065,4.2
6296,4.3
1223,4.5
7752,4.2
5668,4.2
6620,2.9
1508,4.7
2555,4.5
3708,4.4
5044,4.0
415,4.2
6013,3.6
2282,4.5
1002,3.6
6927,3.7
2152,4.6
5612,4.6
6222,4.1
721,4.4
230,3.8
3509,4.2
8983,4.0
2046,4.1
6947,4.3
6486,4.4
2301,4.1
2774,4.4
1743,4.2
8275,4.5
5920,4.3
5852,3.6
6060,4.4
2230,4.2
830,4.5
2575,4.6
3207,4.1
6054,4.6
7253,4.8
6408,4.4
7961,3.9
5331,3.1
1575,4.4
3698,4.2
3296,4.4
4157,4.6
4070,4.2
3957,4.6
9176,4.0
8179,4.6
3795,4.5
533,2.5
4842,4.1
4473,4.2
6649,4.2
6069,5.0
9092,4.5
