,numerical
7912,4.6
4290,3.0
3349,3.7
2800,4.3
2144,4.4
409,4.2
7861,4.5
1354,4.2
4107,4.5
5214,3.8
5745,4.8
2743,4.5
6362,3.0
2186,4.1
1584,4.4
6688,4.1
6216,2.8
594,2.7
8626,4.3
5509,3.9
7779,4.4
4615,4.5
109,4.5
2414,4.4
6411,2.2
5248,3.9
8265,5.0
6903,4.0
8197,4.7
8374,4.2
4327,3.8
2359,2.5
8790,4.0
6685,4.1
3829,4.5
9038,4.1
2090,4.0
4754,3.9
1722,4.6
1838,4.7
5974,4.4
6065,3.7
7418,3.9
3411,4.2
1,3.9
4169,4.3
1911,4.2
5312,4.2
2237,4.7
392,4.3
9100,4.1
7429,5.0
5371,3.7
5044,4.0
8388,4.8
1785,4.4
6037,4.0
4790,4.2
7635,4.6
8853,3.9
8687,4.6
3054,4.0
5865,3.3
774,4.0
3205,4.4
3137,3.8
6112,4.8
6275,4.2
6891,4.2
5084,4.3
1085,4.3
4947,4.4
5602,4.2
3148,4.2
8224,3.5
2608,4.5
2420,4.6
3930,4.3
6674,4.6
3785,3.8
8803,1.2
2417,4.6
4781,5.0
5530,4.2
809,3.1
2015,4.5
2315,4.3
8400,4.5
2222,4.2
342,3.9
145,4.6
6485,3.5
2318,3.1
3428,4.1
7739,4.6
2768,4.4
1696,4.6
8979,4.7
2874,4.3
2922,4.4
2549,4.3
5544,4.8
4293,4.6
9343,4.0
242,4.2
4296,4.5
81,4.3
605,5.0
5490,4.4
674,4.0
772,4.4
5541,4.6
5351,3.8
3239,4.5
2053,4.3
7468,4.5
7219,4.5
1888,4.5
5726,2.7
3278,4.3
3280,4.1
4209,4.1
918,4.3
1224,4.7
1050,4.7
5058,4.0
1004,4.2
1130,4.0
4103,3.9
6086,4.0
1764,4.3
8303,4.3
5449,3.1
1670,4.5
3192,4.1
564,4.1
3032,4.4
9059,5.0
3468,4.7
872,4.0
8362,5.0
4699,1.9
1796,4.4
6221,4.5
1755,4.6
1496,3.5
5079,4.5
237,4.5
8073,4.5
2714,4.6
4669,4.6
2029,4.3
1423,4.0
6702,4.1
2305,4.5
7479,4.6
2589,4.5
294,4.5
316,5.0
5252,2.8
1961,4.1
1741,4.2
2939,4.4
8957,5.0
6833,4.4
3286,4.5
1995,4.5
4173,4.3
3318,4.5
3011,4.0
6881,4.4
3698,4.2
1281,4.4
6788,4.3
7466,4.7
3784,3.4
500,4.1
7782,4.0
5031,4.7
7826,4.0
3987,4.2
8846,3.5
8523,3.9
1124,3.1
7298,4.6
5210,4.3
234,4.1
4511,4.2
4988,4.6
1223,4.5
8529,3.9
3113,4.6
34,4.7
2715,4.3
6730,4.1
1128,4.2
995,4.2
1806,4.5
5978,4.9
7945,4.3
2495,4.4
2308,4.8
2227,4.2
8261,3.8
4716,4.0
2828,4.3
1919,4.7
1618,4.3
6620,2.9
6141,4.5
4721,4.2
4627,4.2
3445,4.6
78,3.9
4264,4.4
5662,4.1
6705,3.8
1686,4.3
7647,4.2
3440,3.7
4075,4.2
707,4.6
8172,5.0
2507,4.4
4934,4.4
2515,4.6
5350,4.7
1916,4.5
1908,4.6
1751,4.5
8931,4.5
1030,4.2
3894,4.5
510,4.2
4067,2.7
1881,4.5
6082,4.6
5956,4.1
4244,3.9
930,4.2
5649,4.0
3540,4.6
890,4.1
4607,4.4
4093,4.4
5784,4.6
2889,4.6
1997,4.8
2962,4.2
6549,3.8
1351,4.5
7853,3.8
448,4.3
43,4.7
8919,4.3
9272,3.9
8545,3.8
841,4.4
9230,4.6
5905,4.7
1382,4.2
1543,4.3
3313,4.4
223,4.8
6014,4.6
6764,4.2
2541,4.3
1227,3.7
6180,4.6
2696,4.3
2036,4.2
1168,4.4
9220,4.4
8777,2.9
7345,4.4
2104,4.6
2091,4.7
1535,4.0
4411,4.2
8929,3.4
3237,4.7
5625,4.6
742,4.6
3457,4.6
8286,4.4
7124,4.8
3880,4.5
4591,4.5
1009,4.4
5952,4.9
3275,4.1
7024,3.5
5770,4.3
4105,4.7
8468,4.4
2151,4.2
7742,4.5
1023,4.0
5574,5.0
3754,4.1
6608,4.2
2374,4.3
8179,4.6
336,4.3
4317,4.4
8380,4.8
3289,4.0
7035,4.0
8486,4.2
1920,4.6
7575,3.9
6694,4.0
6309,4.3
6439,4.5
1562,4.5
117,4.4
4677,4.2
9315,4.0
95,4.0
5053,4.4
3900,4.6
3506,3.8
8379,3.9
4164,4.5
2822,4.1
7446,4.2
6913,2.3
1385,4.1
3801,3.1
5261,3.7
9193,4.2
3029,4.4
2243,4.6
1002,3.6
1563,4.8
5207,4.6
1036,4.2
3649,4.3
3069,4.5
8958,3.4
1397,4.3
236,4.3
1776,4.4
3299,4.6
4166,4.3
7718,3.8
5944,4.5
3742,4.5
8203,4.5
3979,3.7
7286,4.3
7699,4.2
388,4.3
1872,4.5
231,4.3
3376,4.2
3263,4.1
750,4.0
2014,4.3
3916,4.6
2034,4.3
8589,5.0
5078,4.2
6740,4.7
6194,4.0
3825,4.5
1387,4.3
12,4.2
1546,4.1
4659,4.6
2400,3.8
1609,4.7
8608,3.9
3629,4.3
483,3.5
8677,5.0
2904,4.0
4377,4.5
8284,4.4
758,4.3
3240,4.6
3863,3.7
5775,4.3
6450,5.0
4756,4.5
3944,4.2
2577,4.6
3901,4.6
9107,3.6
8046,4.2
3514,4.2
4782,4.6
1527,3.6
9138,4.4
7805,4.6
7837,4.5
1332,4.4
3347,4.5
8463,4.0
1718,4.6
2548,4.2
7043,4.6
1648,4.5
6185,4.4
8411,3.8
1673,4.4
6512,2.8
4109,4.9
4344,4.2
2984,4.0
5813,3.6
2928,4.7
4470,3.9
9260,5.0
6840,4.4
4035,4.0
1647,4.3
4932,4.3
4041,4.6
3899,4.4
8287,4.3
3668,4.1
5570,4.4
3175,4.2
6215,3.8
5605,4.2
6413,4.8
3281,4.6
1891,4.5
199,3.9
1241,4.9
4685,4.8
5780,4.6
3927,4.2
246,4.2
853,4.1
1481,4.0
1121,3.8
5642,3.7
3384,4.5
1793,4.7
9293,5.0
1957,4.4
1321,4.5
5432,4.2
1824,4.5
4843,4.2
6974,4.3
8703,3.4
3864,4.5
4320,4.1
4681,4.2
344,3.6
5949,4.0
112,4.5
1418,3.7
6330,3.9
4572,4.2
243,4.4
1938,4.3
104,4.7
4283,4.1
7591,4.3
2206,4.5
4645,4.3
2694,4.4
2021,4.2
4102,3.5
3576,4.5
3570,4.0
8591,4.3
6820,4.4
6562,5.0
5698,2.2
7519,4.5
5005,4.5
5299,4.4
8827,3.6
7509,4.1
249,4.0
6188,4.6
9191,4.9
1581,4.4
5473,4.6
1526,4.2
6098,3.7
7428,4.5
8298,4.4
3751,4.3
4649,4.2
5789,4.8
4448,4.2
573,4.4
4874,3.4
2344,5.0
387,4.5
2019,4.5
1156,4.4
561,4.3
1815,4.5
3954,4.2
116,4.1
8971,4.9
5740,4.5
5732,2.3
8301,4.4
5550,4.2
26,3.9
3988,4.5
1503,4.6
5401,4.0
3079,4.5
1531,4.6
3752,4.1
3569,3.5
5518,4.0
2482,4.3
3128,3.4
9116,3.2
2365,3.8
5869,4.0
5623,4.9
7933,4.3
8239,4.2
5453,3.7
5158,4.0
2931,4.2
2652,4.5
8649,3.4
7364,4.1
6534,4.3
8922,4.3
7960,3.7
2992,3.4
7011,4.1
2885,4.3
1729,4.7
3883,4.6
9317,4.1
4996,4.4
9147,4.0
6407,4.6
2410,4.3
7456,4.3
4316,4.2
6218,4.1
1189,4.3
2933,4.1
4480,3.9
2985,4.1
2521,4.4
8306,4.5
3279,4.6
289,4.8
8813,4.4
2610,4.0
5504,4.2
4123,4.8
2349,4.6
3394,4.3
6219,4.7
1343,4.6
8903,4.7
6297,4.5
1301,4.5
5872,5.0
1092,4.3
5318,4.6
9256,4.5
2217,4.6
4298,4.1
5146,2.9
7405,3.2
560,3.9
2497,4.1
184,3.9
1602,4.3
3383,4.3
9051,4.3
3699,3.7
5399,4.2
7571,4.7
3539,3.8
1956,4.8
4530,4.0
7666,4.3
3271,4.2
4149,4.5
584,4.5
3990,4.4
9184,4.6
3749,4.8
8258,3.9
5957,4.3
2550,4.6
2537,4.3
2371,4.0
526,4.1
8372,3.1
5040,4.7
4621,4.3
932,3.9
3682,4.4
2547,4.3
4703,2.5
4097,4.3
7540,4.0
2935,4.5
5062,3.6
1529,4.2
3459,4.5
4980,4.3
6067,4.5
4119,4.5
7284,4.5
9203,4.0
5024,4.6
4305,4.7
4828,4.7
5346,4.0
9278,4.6
5223,4.3
8447,3.8
2765,4.3
3082,4.3
7752,4.2
3216,4.5
8883,4.4
1514,3.8
502,1.9
1878,4.6
5908,3.8
1196,4.4
554,4.1
2283,4.5
5746,5.0
2600,4.2
8561,3.1
8841,4.4
3556,4.3
1447,3.8
1105,4.6
80,4.0
3670,4.4
2459,3.7
7751,3.3
7687,4.7
6093,4.2
7547,3.9
1407,4.0
460,4.2
8658,4.3
5121,4.1
5638,4.2
4867,3.8
536,4.0
3430,4.1
1451,4.3
7314,4.5
1853,4.7
7350,3.1
8006,4.9
94,4.4
8074,4.1
8994,4.0
1413,4.5
2972,4.4
694,4.4
2378,2.7
5987,4.9
8107,4.0
3837,4.7
4803,4.0
3633,4.0
9037,4.8
2670,4.7
4030,4.4
4435,4.3
6294,4.5
3697,4.3
1340,4.5
